# Object: VI_Cyg_12_comb_00band_lamdif_m144add_norm_reg7_norm.fits
# Telluric: HR_8358_sum_00band_dp_lamdef_m144add_reg7.fits
# Threshold of mask: 0.60
# Signal-to-noise: 315
1.2116534180e+04 9.8661476374e-01 3.7159258320e-03 1.0000000000e+00
1.2116573719e+04 9.8803079128e-01 3.5965270110e-03 1.0000000000e+00
1.2116613258e+04 9.8971003294e-01 3.5096931377e-03 1.0000000000e+00
1.2116652797e+04 9.9066174030e-01 3.4453396768e-03 1.0000000000e+00
1.2116692336e+04 9.9086928368e-01 3.3977908839e-03 1.0000000000e+00
1.2116731875e+04 9.8962301016e-01 3.3594485354e-03 1.0000000000e+00
1.2116771415e+04 9.8735773563e-01 3.3330500232e-03 1.0000000000e+00
1.2116810954e+04 9.8636478186e-01 3.3129102644e-03 1.0000000000e+00
1.2116850493e+04 9.8731046915e-01 3.2983537691e-03 1.0000000000e+00
1.2116890032e+04 9.8823118210e-01 3.2877066351e-03 1.0000000000e+00
1.2116929571e+04 9.8803168535e-01 3.2787774848e-03 1.0000000000e+00
1.2116969110e+04 9.8735255003e-01 3.2709927909e-03 1.0000000000e+00
1.2117008650e+04 9.8656409979e-01 3.2659473734e-03 1.0000000000e+00
1.2117048189e+04 9.8598313332e-01 3.2648648762e-03 1.0000000000e+00
1.2117087728e+04 9.8717314005e-01 3.2670390087e-03 1.0000000000e+00
1.2117127267e+04 9.9145400524e-01 3.2740581343e-03 1.0000000000e+00
1.2117166806e+04 9.9760961533e-01 3.2897005032e-03 1.0000000000e+00
1.2117206345e+04 1.0022948980e+00 3.3174936683e-03 1.0000000000e+00
1.2117245884e+04 1.0032658577e+00 3.3528809382e-03 1.0000000000e+00
1.2117285424e+04 1.0018758774e+00 3.3883443340e-03 1.0000000000e+00
1.2117324963e+04 1.0016734600e+00 3.4217001242e-03 1.0000000000e+00
1.2117364502e+04 1.0042235851e+00 3.4516537709e-03 1.0000000000e+00
1.2117404041e+04 1.0076674223e+00 3.4687694990e-03 1.0000000000e+00
1.2117443580e+04 1.0088710785e+00 3.4606500790e-03 1.0000000000e+00
1.2117483119e+04 1.0069786310e+00 3.4208165431e-03 1.0000000000e+00
1.2117522659e+04 1.0034230947e+00 3.3701196385e-03 1.0000000000e+00
1.2117562198e+04 1.0000320673e+00 3.3220765055e-03 1.0000000000e+00
1.2117601737e+04 9.9758702517e-01 3.2851087915e-03 1.0000000000e+00
1.2117641276e+04 9.9620038271e-01 3.2600750672e-03 1.0000000000e+00
1.2117680815e+04 9.9601262808e-01 3.2446322239e-03 1.0000000000e+00
1.2117720354e+04 9.9686616659e-01 3.2349302944e-03 1.0000000000e+00
1.2117759893e+04 9.9787604809e-01 3.2271665294e-03 1.0000000000e+00
1.2117799433e+04 9.9764454365e-01 3.2202492270e-03 1.0000000000e+00
1.2117838972e+04 9.9502712488e-01 3.2152586290e-03 1.0000000000e+00
1.2117878511e+04 9.9120438099e-01 3.2136018295e-03 1.0000000000e+00
1.2117918050e+04 9.8983174562e-01 3.2132831638e-03 1.0000000000e+00
1.2117957589e+04 9.9254596233e-01 3.2134910748e-03 1.0000000000e+00
1.2117997128e+04 9.9646109343e-01 3.2139805090e-03 1.0000000000e+00
1.2118036668e+04 9.9833047390e-01 3.2134691576e-03 1.0000000000e+00
1.2118076207e+04 9.9829685688e-01 3.2114406811e-03 1.0000000000e+00
1.2118115746e+04 9.9817454815e-01 3.2093015894e-03 1.0000000000e+00
1.2118155285e+04 9.9886280298e-01 3.2087634906e-03 1.0000000000e+00
