# Object: VI_Cyg_12_comb_00band_lamdif_m144add_norm_reg2_norm.fits
# Telluric: HR_8358_sum_00band_dp_lamdef_m144add_reg2.fits
# Threshold of mask: 0.60
# Signal-to-noise: 211
1.2072007813e+04 9.9823743105e-01 5.6025041008e-03 1.0000000000e+00
1.2072047357e+04 9.9868190289e-01 5.5692819688e-03 1.0000000000e+00
1.2072086901e+04 9.9974775314e-01 5.5366750431e-03 1.0000000000e+00
1.2072126445e+04 1.0006239414e+00 5.5000389913e-03 1.0000000000e+00
1.2072165989e+04 1.0004934072e+00 5.4649322062e-03 1.0000000000e+00
1.2072205533e+04 9.9957913160e-01 5.4384296828e-03 1.0000000000e+00
1.2072245078e+04 9.9876147509e-01 5.4140423839e-03 1.0000000000e+00
1.2072284622e+04 9.9849629402e-01 5.3711055618e-03 1.0000000000e+00
1.2072324166e+04 9.9858093262e-01 5.2951106024e-03 1.0000000000e+00
1.2072363710e+04 9.9909114838e-01 5.1853872297e-03 1.0000000000e+00
1.2072403254e+04 1.0004444122e+00 5.0890136847e-03 1.0000000000e+00
1.2072442799e+04 1.0023250580e+00 5.0143692878e-03 1.0000000000e+00
1.2072482343e+04 1.0035140514e+00 4.9639473951e-03 1.0000000000e+00
1.2072521887e+04 1.0032830238e+00 4.9311344269e-03 1.0000000000e+00
1.2072561431e+04 1.0019509792e+00 4.9080499367e-03 1.0000000000e+00
1.2072600975e+04 9.9996125698e-01 4.8893932366e-03 1.0000000000e+00
1.2072640519e+04 9.9703359604e-01 4.8723994307e-03 1.0000000000e+00
1.2072680064e+04 9.9264752865e-01 4.8555063911e-03 1.0000000000e+00
1.2072719608e+04 9.8707687855e-01 4.8384317736e-03 1.0000000000e+00
1.2072759152e+04 9.8158252239e-01 4.8228538458e-03 1.0000000000e+00
1.2072798696e+04 9.7658973932e-01 4.8107592324e-03 1.0000000000e+00
1.2072838240e+04 9.6937131882e-01 4.8017626210e-03 1.0000000000e+00
1.2072877785e+04 9.5503759384e-01 4.7934992658e-03 1.0000000000e+00
1.2072917329e+04 9.3243521452e-01 4.7846837130e-03 1.0000000000e+00
1.2072956873e+04 9.0896880627e-01 4.7765748332e-03 1.0000000000e+00
1.2072996417e+04 8.9635580778e-01 4.7708152532e-03 1.0000000000e+00
1.2073035961e+04 8.9913123846e-01 4.7683993024e-03 1.0000000000e+00
1.2073075505e+04 9.0861475468e-01 4.7664472076e-03 1.0000000000e+00
1.2073115050e+04 9.1025876999e-01 4.7634811246e-03 1.0000000000e+00
1.2073154594e+04 8.9779448509e-01 4.7603866462e-03 1.0000000000e+00
1.2073194138e+04 8.8045895100e-01 4.7588641992e-03 1.0000000000e+00
1.2073233682e+04 8.7601077557e-01 4.7593579517e-03 1.0000000000e+00
1.2073273226e+04 8.9474099874e-01 4.7606056477e-03 1.0000000000e+00
1.2073312771e+04 9.2987215519e-01 4.7601845308e-03 1.0000000000e+00
1.2073352315e+04 9.6479374170e-01 4.7565736479e-03 1.0000000000e+00
1.2073391859e+04 9.8853033781e-01 4.7523692460e-03 1.0000000000e+00
1.2073431403e+04 1.0015128851e+00 4.7530594406e-03 1.0000000000e+00
1.2073470947e+04 1.0085276365e+00 4.7592387903e-03 1.0000000000e+00
1.2073510491e+04 1.0115580559e+00 4.7627518422e-03 1.0000000000e+00
1.2073550036e+04 1.0108460188e+00 4.7558927051e-03 1.0000000000e+00
1.2073589580e+04 1.0081735849e+00 4.7418462931e-03 1.0000000000e+00
1.2073629124e+04 1.0058339834e+00 4.7295534778e-03 1.0000000000e+00
1.2073668668e+04 1.0045319796e+00 4.7221345728e-03 1.0000000000e+00
1.2073708212e+04 1.0044267178e+00 4.7204933974e-03 1.0000000000e+00
1.2073747757e+04 1.0063252449e+00 4.7265023451e-03 1.0000000000e+00
1.2073787301e+04 1.0101103783e+00 4.7412152179e-03 1.0000000000e+00
1.2073826845e+04 1.0132007599e+00 4.7553888302e-03 1.0000000000e+00
1.2073866389e+04 1.0127538443e+00 4.7562114625e-03 1.0000000000e+00
1.2073905933e+04 1.0090142488e+00 4.7430246552e-03 1.0000000000e+00
1.2073945478e+04 1.0050200224e+00 4.7273130393e-03 1.0000000000e+00
1.2073985022e+04 1.0034517050e+00 4.7181483517e-03 1.0000000000e+00
1.2074024566e+04 1.0046811104e+00 4.7161591668e-03 1.0000000000e+00
1.2074064110e+04 1.0071507692e+00 4.7186404326e-03 1.0000000000e+00
1.2074103654e+04 1.0089484453e+00 4.7224023985e-03 1.0000000000e+00
1.2074143198e+04 1.0091158152e+00 4.7233000612e-03 1.0000000000e+00
1.2074182743e+04 1.0079714060e+00 4.7191921796e-03 1.0000000000e+00
1.2074222287e+04 1.0064747334e+00 4.7129703177e-03 1.0000000000e+00
1.2074261831e+04 1.0053256750e+00 4.7094477505e-03 1.0000000000e+00
1.2074301375e+04 1.0045659542e+00 4.7104132722e-03 1.0000000000e+00
1.2074340919e+04 1.0040142536e+00 4.7132337418e-03 1.0000000000e+00
1.2074380464e+04 1.0036268234e+00 4.7150645117e-03 1.0000000000e+00
1.2074420008e+04 1.0032550097e+00 4.7146690795e-03 1.0000000000e+00
1.2074459552e+04 1.0024931431e+00 4.7122491348e-03 1.0000000000e+00
1.2074499096e+04 1.0012702942e+00 4.7092558128e-03 1.0000000000e+00
1.2074538640e+04 1.0001684427e+00 4.7078858432e-03 1.0000000000e+00
1.2074578184e+04 9.9971604347e-01 4.7092261562e-03 1.0000000000e+00
1.2074617729e+04 9.9963456392e-01 4.7116004268e-03 1.0000000000e+00
1.2074657273e+04 9.9932557344e-01 4.7119751767e-03 1.0000000000e+00
1.2074696817e+04 9.9891036749e-01 4.7095703079e-03 1.0000000000e+00
1.2074736361e+04 9.9915897846e-01 4.7064473663e-03 1.0000000000e+00
1.2074775905e+04 1.0001480579e+00 4.7037835038e-03 1.0000000000e+00
1.2074815450e+04 1.0008164644e+00 4.7008020390e-03 1.0000000000e+00
1.2074854994e+04 1.0006031990e+00 4.6998293065e-03 1.0000000000e+00
1.2074894538e+04 1.0008749962e+00 4.7078645922e-03 1.0000000000e+00
1.2074934082e+04 1.0032901764e+00 4.7301718549e-03 1.0000000000e+00
1.2074973626e+04 1.0069556236e+00 4.7527069091e-03 1.0000000000e+00
1.2075013170e+04 1.0088270903e+00 4.7632292279e-03 1.0000000000e+00
1.2075052715e+04 1.0069274902e+00 4.7570181068e-03 1.0000000000e+00
1.2075092259e+04 1.0022357702e+00 4.7416871613e-03 1.0000000000e+00
1.2075131803e+04 9.9783152342e-01 4.7309643251e-03 1.0000000000e+00
1.2075171347e+04 9.9604326487e-01 4.7369170341e-03 1.0000000000e+00
1.2075210891e+04 9.9633240700e-01 4.7653050218e-03 1.0000000000e+00
1.2075250436e+04 9.9643331766e-01 4.8144794946e-03 1.0000000000e+00
1.2075289980e+04 9.9486833811e-01 4.8741749263e-03 1.0000000000e+00
1.2075329524e+04 9.9196398258e-01 4.9241534268e-03 1.0000000000e+00
1.2075369068e+04 9.8891621828e-01 4.9409991726e-03 1.0000000000e+00
1.2075408612e+04 9.8642277718e-01 4.9149642908e-03 1.0000000000e+00
1.2075448156e+04 9.8437666893e-01 4.8599638808e-03 1.0000000000e+00
1.2075487701e+04 9.8265153170e-01 4.8022234207e-03 1.0000000000e+00
1.2075527245e+04 9.8144584894e-01 4.7598466619e-03 1.0000000000e+00
1.2075566789e+04 9.8078733683e-01 4.7345474451e-03 1.0000000000e+00
1.2075606333e+04 9.8037540913e-01 4.7180556767e-03 1.0000000000e+00
1.2075645877e+04 9.7981458902e-01 4.7083058675e-03 1.0000000000e+00
1.2075685422e+04 9.7853082418e-01 4.7031795412e-03 1.0000000000e+00
1.2075724966e+04 9.7600227594e-01 4.7020261914e-03 1.0000000000e+00
