# Object: VI_Cyg_12_comb_00band_lamdif_m144add_norm_reg6_norm.fits
# Telluric: HR_8358_sum_00band_dp_lamdef_m144add_reg6.fits
# Threshold of mask: 0.60
# Signal-to-noise: 258
1.2111235352e+04 1.0002396107e+00 4.6170909969e-03 1.0000000000e+00
1.2111274894e+04 9.9728178978e-01 4.5069654486e-03 1.0000000000e+00
1.2111314437e+04 9.9603521824e-01 4.4191185870e-03 1.0000000000e+00
1.2111353979e+04 9.9852681160e-01 4.3507334227e-03 1.0000000000e+00
1.2111393522e+04 1.0022051334e+00 4.2941645048e-03 1.0000000000e+00
1.2111433065e+04 1.0037420988e+00 4.2433599634e-03 1.0000000000e+00
1.2111472607e+04 1.0031330585e+00 4.1981876462e-03 1.0000000000e+00
1.2111512150e+04 1.0018872023e+00 4.1586296117e-03 1.0000000000e+00
1.2111551693e+04 9.9962526560e-01 4.1320467580e-03 1.0000000000e+00
1.2111591235e+04 9.9545401335e-01 4.1101144036e-03 1.0000000000e+00
1.2111630778e+04 9.9012911320e-01 4.0890260714e-03 1.0000000000e+00
1.2111670321e+04 9.8524510860e-01 4.0685590505e-03 1.0000000000e+00
1.2111709863e+04 9.8176622391e-01 4.0500932630e-03 1.0000000000e+00
1.2111749406e+04 9.7939932346e-01 4.0346297349e-03 1.0000000000e+00
1.2111788949e+04 9.7530782223e-01 4.0227945550e-03 1.0000000000e+00
1.2111828491e+04 9.6523171663e-01 4.0139271359e-03 1.0000000000e+00
1.2111868034e+04 9.4855219126e-01 4.0060444039e-03 1.0000000000e+00
1.2111907576e+04 9.3151772022e-01 3.9983132502e-03 1.0000000000e+00
1.2111947119e+04 9.2301243544e-01 3.9917101178e-03 1.0000000000e+00
1.2111986662e+04 9.2655587196e-01 3.9875605945e-03 1.0000000000e+00
1.2112026204e+04 9.3622112274e-01 3.9871514422e-03 1.0000000000e+00
1.2112065747e+04 9.4109421968e-01 3.9908911769e-03 1.0000000000e+00
1.2112105290e+04 9.3539869785e-01 3.9950355653e-03 1.0000000000e+00
1.2112144832e+04 9.2510503531e-01 3.9962023098e-03 1.0000000000e+00
1.2112184375e+04 9.2268025875e-01 3.9915677012e-03 1.0000000000e+00
1.2112223918e+04 9.3472808599e-01 3.9793467781e-03 1.0000000000e+00
1.2112263460e+04 9.5624589920e-01 3.9615822782e-03 1.0000000000e+00
1.2112303003e+04 9.7686052322e-01 3.9446632954e-03 1.0000000000e+00
1.2112342546e+04 9.9013751745e-01 3.9337656454e-03 1.0000000000e+00
1.2112382088e+04 9.9640083313e-01 3.9274414451e-03 1.0000000000e+00
1.2112421631e+04 9.9878787994e-01 3.9209018644e-03 1.0000000000e+00
1.2112461173e+04 1.0001078844e+00 3.9172188912e-03 1.0000000000e+00
1.2112500716e+04 1.0031183958e+00 3.9272778623e-03 1.0000000000e+00
1.2112540259e+04 1.0084077120e+00 3.9486467079e-03 1.0000000000e+00
1.2112579801e+04 1.0112757683e+00 3.9578196197e-03 1.0000000000e+00
1.2112619344e+04 1.0079823732e+00 3.9431243611e-03 1.0000000000e+00
1.2112658887e+04 1.0023224354e+00 3.9277860373e-03 1.0000000000e+00
1.2112698429e+04 9.9895995855e-01 3.9260282257e-03 1.0000000000e+00
1.2112737972e+04 9.9746221304e-01 3.9282509873e-03 1.0000000000e+00
1.2112777515e+04 9.9670404196e-01 3.9272190521e-03 1.0000000000e+00
1.2112817057e+04 9.9716252089e-01 3.9306866265e-03 1.0000000000e+00
1.2112856600e+04 9.9845033884e-01 3.9421947152e-03 1.0000000000e+00
1.2112896143e+04 9.9908524752e-01 3.9539250828e-03 1.0000000000e+00
1.2112935685e+04 9.9899673462e-01 3.9622748342e-03 1.0000000000e+00
1.2112975228e+04 9.9945497513e-01 3.9730668185e-03 1.0000000000e+00
1.2113014770e+04 1.0008900166e+00 3.9897953550e-03 1.0000000000e+00
1.2113054313e+04 1.0022799969e+00 4.0101525653e-03 1.0000000000e+00
1.2113093856e+04 1.0024703741e+00 4.0389055514e-03 1.0000000000e+00
1.2113133398e+04 1.0012871027e+00 4.0802508460e-03 1.0000000000e+00
1.2113172941e+04 9.9992001057e-01 4.1428717422e-03 1.0000000000e+00
1.2113212484e+04 1.0003215075e+00 4.2291798515e-03 1.0000000000e+00
