# Object: VI_Cyg_12_comb_00band_lamdif_m144add_norm_reg1_norm.fits
# Telluric: HR_8358_sum_00band_dp_lamdef_m144add_reg1.fits
# Threshold of mask: 0.60
# Signal-to-noise: 1215
1.2067816406e+04 1.0015987158e+00 9.8303634118e-04 1.0000000000e+00
1.2067855945e+04 1.0019446611e+00 9.5854297749e-04 1.0000000000e+00
1.2067895483e+04 1.0010809898e+00 9.3843097859e-04 1.0000000000e+00
1.2067935021e+04 9.9889117479e-01 9.2069771669e-04 1.0000000000e+00
1.2067974559e+04 9.9711036682e-01 9.0597295980e-04 1.0000000000e+00
1.2068014098e+04 9.9709177017e-01 8.9441882861e-04 1.0000000000e+00
1.2068053636e+04 9.9823224545e-01 8.8741453738e-04 1.0000000000e+00
1.2068093174e+04 9.9901539087e-01 8.8179371408e-04 1.0000000000e+00
1.2068132712e+04 9.9903529882e-01 8.7632641215e-04 1.0000000000e+00
1.2068172251e+04 9.9922388792e-01 8.7132006558e-04 1.0000000000e+00
1.2068211789e+04 1.0002900362e+00 8.6762090934e-04 1.0000000000e+00
1.2068251327e+04 1.0017495155e+00 8.6529213936e-04 1.0000000000e+00
1.2068290865e+04 1.0027288198e+00 8.6364414378e-04 1.0000000000e+00
1.2068330404e+04 1.0030020475e+00 8.6221706226e-04 1.0000000000e+00
1.2068369942e+04 1.0029488802e+00 8.6109713543e-04 1.0000000000e+00
1.2068409480e+04 1.0028836727e+00 8.6066036661e-04 1.0000000000e+00
1.2068449018e+04 1.0027875900e+00 8.6051573366e-04 1.0000000000e+00
1.2068488557e+04 1.0024909973e+00 8.6053450745e-04 1.0000000000e+00
1.2068528095e+04 1.0019329786e+00 8.6119318092e-04 1.0000000000e+00
1.2068567633e+04 1.0011981726e+00 8.6301036355e-04 1.0000000000e+00
1.2068607171e+04 1.0004352331e+00 8.6576565579e-04 1.0000000000e+00
1.2068646710e+04 9.9979537725e-01 8.6884180861e-04 1.0000000000e+00
1.2068686248e+04 9.9948304892e-01 8.7279131478e-04 1.0000000000e+00
1.2068725786e+04 9.9963307381e-01 8.7826580411e-04 1.0000000000e+00
1.2068765325e+04 1.0000259876e+00 8.8698098687e-04 1.0000000000e+00
1.2068804863e+04 9.9996417761e-01 8.9952574945e-04 1.0000000000e+00
1.2068844401e+04 9.9886846542e-01 9.1558758961e-04 1.0000000000e+00
1.2068883939e+04 9.9720370770e-01 9.3378476533e-04 1.0000000000e+00
1.2068923478e+04 9.9639624357e-01 9.5073649570e-04 1.0000000000e+00
1.2068963016e+04 9.9713099003e-01 9.6099706648e-04 1.0000000000e+00
1.2069002554e+04 9.9846500158e-01 9.6006603964e-04 1.0000000000e+00
