# Object: VI_Cyg_12_comb_00band_lamdif_m144add_norm_reg3_norm.fits
# Telluric: HR_8358_sum_00band_dp_lamdef_m144add_reg3.fits
# Threshold of mask: 0.60
# Signal-to-noise: 335
1.2082447266e+04 1.0158219337e+00 3.4263063789e-03 1.0000000000e+00
1.2082486809e+04 1.0141639709e+00 3.3272658643e-03 1.0000000000e+00
1.2082526353e+04 1.0130531788e+00 3.2629974642e-03 1.0000000000e+00
1.2082565897e+04 1.0123686790e+00 3.2213805637e-03 1.0000000000e+00
1.2082605440e+04 1.0121337175e+00 3.1918060788e-03 1.0000000000e+00
1.2082644984e+04 1.0115875006e+00 3.1661197259e-03 1.0000000000e+00
1.2082684528e+04 1.0092891455e+00 3.1392863087e-03 1.0000000000e+00
1.2082724072e+04 1.0062803030e+00 3.1115274926e-03 1.0000000000e+00
1.2082763615e+04 1.0047349930e+00 3.0868194035e-03 1.0000000000e+00
1.2082803159e+04 1.0055391788e+00 3.0747420521e-03 1.0000000000e+00
1.2082842703e+04 1.0068417788e+00 3.0697195084e-03 1.0000000000e+00
1.2082882246e+04 1.0069068670e+00 3.0648264717e-03 1.0000000000e+00
1.2082921790e+04 1.0054793358e+00 3.0576006330e-03 1.0000000000e+00
1.2082961334e+04 1.0037701130e+00 3.0516563739e-03 1.0000000000e+00
1.2083000877e+04 1.0024989843e+00 3.0504058079e-03 1.0000000000e+00
1.2083040421e+04 1.0016529560e+00 3.0525923150e-03 1.0000000000e+00
1.2083079965e+04 1.0006643534e+00 3.0543270561e-03 1.0000000000e+00
1.2083119509e+04 9.9961119890e-01 3.0535534538e-03 1.0000000000e+00
1.2083159052e+04 9.9893432856e-01 3.0518984112e-03 1.0000000000e+00
1.2083198596e+04 9.9896353483e-01 3.0530491255e-03 1.0000000000e+00
1.2083238140e+04 9.9932211637e-01 3.0597206767e-03 1.0000000000e+00
1.2083277683e+04 9.9962955713e-01 3.0716436501e-03 1.0000000000e+00
1.2083317227e+04 9.9970561266e-01 3.0864612524e-03 1.0000000000e+00
1.2083356771e+04 9.9978226423e-01 3.1032922005e-03 1.0000000000e+00
1.2083396315e+04 1.0000411272e+00 3.1274538727e-03 1.0000000000e+00
1.2083435858e+04 1.0002573729e+00 3.1581385641e-03 1.0000000000e+00
1.2083475402e+04 9.9974757433e-01 3.1961073101e-03 1.0000000000e+00
1.2083514946e+04 9.9850273132e-01 3.2353519060e-03 1.0000000000e+00
1.2083554489e+04 9.9753010273e-01 3.2671175953e-03 1.0000000000e+00
1.2083594033e+04 9.9749481678e-01 3.2808141290e-03 1.0000000000e+00
1.2083633577e+04 9.9766296148e-01 3.2676269883e-03 1.0000000000e+00
1.2083673120e+04 9.9736988544e-01 3.2296808195e-03 1.0000000000e+00
1.2083712664e+04 9.9734073877e-01 3.1821072520e-03 1.0000000000e+00
1.2083752208e+04 9.9833178520e-01 3.1405972126e-03 1.0000000000e+00
1.2083791752e+04 9.9985849857e-01 3.1102500287e-03 1.0000000000e+00
1.2083831295e+04 1.0013042688e+00 3.0880118694e-03 1.0000000000e+00
1.2083870839e+04 1.0028413534e+00 3.0705465938e-03 1.0000000000e+00
1.2083910383e+04 1.0042518377e+00 3.0563087494e-03 1.0000000000e+00
1.2083949926e+04 1.0043097734e+00 3.0436609714e-03 1.0000000000e+00
1.2083989470e+04 1.0024099350e+00 3.0305106171e-03 1.0000000000e+00
1.2084029014e+04 1.0000625849e+00 3.0208058857e-03 1.0000000000e+00
1.2084068557e+04 9.9932330847e-01 3.0150502524e-03 1.0000000000e+00
1.2084108101e+04 1.0004823208e+00 3.0124830080e-03 1.0000000000e+00
1.2084147645e+04 1.0020411015e+00 3.0106482067e-03 1.0000000000e+00
1.2084187189e+04 1.0027709007e+00 3.0080223759e-03 1.0000000000e+00
1.2084226732e+04 1.0025590658e+00 3.0048538632e-03 1.0000000000e+00
1.2084266276e+04 1.0019916296e+00 3.0020634003e-03 1.0000000000e+00
1.2084305820e+04 1.0016841888e+00 2.9998481897e-03 1.0000000000e+00
1.2084345363e+04 1.0019924641e+00 2.9967570527e-03 1.0000000000e+00
1.2084384907e+04 1.0024175644e+00 2.9909381508e-03 1.0000000000e+00
1.2084424451e+04 1.0020086765e+00 2.9834731642e-03 1.0000000000e+00
1.2084463994e+04 1.0004876852e+00 2.9781941227e-03 1.0000000000e+00
1.2084503538e+04 9.9875736237e-01 2.9765798580e-03 1.0000000000e+00
1.2084543082e+04 9.9766820669e-01 2.9759727007e-03 1.0000000000e+00
1.2084582626e+04 9.9729824066e-01 2.9739113499e-03 1.0000000000e+00
1.2084622169e+04 9.9729675055e-01 2.9718496722e-03 1.0000000000e+00
1.2084661713e+04 9.9754667282e-01 2.9708071919e-03 1.0000000000e+00
1.2084701257e+04 9.9788248539e-01 2.9702309800e-03 1.0000000000e+00
1.2084740800e+04 9.9810791016e-01 2.9698677848e-03 1.0000000000e+00
1.2084780344e+04 9.9820536375e-01 2.9707362125e-03 1.0000000000e+00
1.2084819888e+04 9.9828773737e-01 2.9732101293e-03 1.0000000000e+00
1.2084859432e+04 9.9802613258e-01 2.9757809997e-03 1.0000000000e+00
1.2084898975e+04 9.9711692333e-01 2.9768617227e-03 1.0000000000e+00
1.2084938519e+04 9.9611979723e-01 2.9769298037e-03 1.0000000000e+00
1.2084978063e+04 9.9625664949e-01 2.9778552338e-03 1.0000000000e+00
1.2085017606e+04 9.9796909094e-01 2.9812723133e-03 1.0000000000e+00
1.2085057150e+04 1.0006082058e+00 2.9893020002e-03 1.0000000000e+00
1.2085096694e+04 1.0032248497e+00 3.0056960625e-03 1.0000000000e+00
1.2085136237e+04 1.0052168369e+00 3.0330871589e-03 1.0000000000e+00
1.2085175781e+04 1.0061308146e+00 3.0674412013e-03 1.0000000000e+00
1.2085215325e+04 1.0057667494e+00 3.0980972967e-03 1.0000000000e+00
1.2085254869e+04 1.0044971704e+00 3.1045803444e-03 1.0000000000e+00
1.2085294412e+04 1.0034128428e+00 3.0882032302e-03 1.0000000000e+00
1.2085333956e+04 1.0036511421e+00 3.0601176106e-03 1.0000000000e+00
1.2085373500e+04 1.0049326420e+00 3.0334796054e-03 1.0000000000e+00
1.2085413043e+04 1.0055450201e+00 3.0142306139e-03 1.0000000000e+00
1.2085452587e+04 1.0042876005e+00 3.0020437472e-03 1.0000000000e+00
1.2085492131e+04 1.0016386509e+00 2.9949074362e-03 1.0000000000e+00
1.2085531674e+04 9.9857646227e-01 2.9909930959e-03 1.0000000000e+00
1.2085571218e+04 9.9552857876e-01 2.9887643416e-03 1.0000000000e+00
1.2085610762e+04 9.9250900745e-01 2.9871635935e-03 1.0000000000e+00
1.2085650306e+04 9.8859685659e-01 2.9856109253e-03 1.0000000000e+00
1.2085689849e+04 9.8075288534e-01 2.9843909072e-03 1.0000000000e+00
1.2085729393e+04 9.6521908045e-01 2.9851681880e-03 1.0000000000e+00
1.2085768937e+04 9.4247215986e-01 2.9894074813e-03 1.0000000000e+00
1.2085808480e+04 9.2033714056e-01 2.9966347038e-03 1.0000000000e+00
1.2085848024e+04 9.0952509642e-01 3.0025750120e-03 1.0000000000e+00
1.2085887568e+04 9.1366869211e-01 3.0068221413e-03 1.0000000000e+00
1.2085927112e+04 9.2339581251e-01 3.0099591010e-03 1.0000000000e+00
1.2085966655e+04 9.2266643047e-01 3.0118774506e-03 1.0000000000e+00
1.2086006199e+04 9.0471768379e-01 3.0118859804e-03 1.0000000000e+00
1.2086045743e+04 8.8168054819e-01 3.0103531996e-03 1.0000000000e+00
1.2086085286e+04 8.7469387054e-01 3.0086620599e-03 1.0000000000e+00
1.2086124830e+04 8.9378297329e-01 3.0078943994e-03 1.0000000000e+00
1.2086164374e+04 9.2997795343e-01 3.0080002915e-03 1.0000000000e+00
1.2086203917e+04 9.6562254429e-01 3.0079210075e-03 1.0000000000e+00
1.2086243461e+04 9.8890936375e-01 3.0069616038e-03 1.0000000000e+00
1.2086283005e+04 9.9911379814e-01 3.0063260781e-03 1.0000000000e+00
1.2086322549e+04 1.0019950867e+00 3.0081605015e-03 1.0000000000e+00
1.2086362092e+04 1.0025964975e+00 3.0127929602e-03 1.0000000000e+00
1.2086401636e+04 1.0023910999e+00 3.0189058694e-03 1.0000000000e+00
1.2086441180e+04 1.0012651682e+00 3.0237778304e-03 1.0000000000e+00
1.2086480723e+04 9.9994248152e-01 3.0280171408e-03 1.0000000000e+00
1.2086520267e+04 9.9942308664e-01 3.0325185493e-03 1.0000000000e+00
1.2086559811e+04 9.9959158897e-01 3.0394903315e-03 1.0000000000e+00
1.2086599354e+04 9.9964237213e-01 3.0515680651e-03 1.0000000000e+00
1.2086638898e+04 9.9938279390e-01 3.0673585646e-03 1.0000000000e+00
1.2086678442e+04 9.9886840582e-01 3.0801427851e-03 1.0000000000e+00
1.2086717986e+04 9.9795746803e-01 3.0847579806e-03 1.0000000000e+00
1.2086757529e+04 9.9705588818e-01 3.0836327048e-03 1.0000000000e+00
1.2086797073e+04 9.9739187956e-01 3.0823806997e-03 1.0000000000e+00
1.2086836617e+04 9.9946576357e-01 3.0822805300e-03 1.0000000000e+00
1.2086876160e+04 1.0020333529e+00 3.0809227040e-03 1.0000000000e+00
1.2086915704e+04 1.0032975674e+00 3.0781035359e-03 1.0000000000e+00
1.2086955248e+04 1.0028537512e+00 3.0773134866e-03 1.0000000000e+00
1.2086994791e+04 1.0018593073e+00 3.0818354523e-03 1.0000000000e+00
1.2087034335e+04 1.0015383959e+00 3.0928405255e-03 1.0000000000e+00
1.2087073879e+04 1.0017875433e+00 3.1055718039e-03 1.0000000000e+00
1.2087113423e+04 1.0016542673e+00 3.1184799252e-03 1.0000000000e+00
1.2087152966e+04 1.0008490086e+00 3.1308357667e-03 1.0000000000e+00
1.2087192510e+04 1.0001013279e+00 3.1426146224e-03 1.0000000000e+00
1.2087232054e+04 9.9979078770e-01 3.1526016782e-03 1.0000000000e+00
1.2087271597e+04 9.9925863743e-01 3.1583490927e-03 1.0000000000e+00
1.2087311141e+04 9.9796777964e-01 3.1592044667e-03 1.0000000000e+00
1.2087350685e+04 9.9669337273e-01 3.1586508661e-03 1.0000000000e+00
1.2087390229e+04 9.9672430754e-01 3.1618601731e-03 1.0000000000e+00
1.2087429772e+04 9.9814254045e-01 3.1710704035e-03 1.0000000000e+00
1.2087469316e+04 9.9972212315e-01 3.1846125063e-03 1.0000000000e+00
1.2087508860e+04 1.0004290342e+00 3.2003146200e-03 1.0000000000e+00
1.2087548403e+04 1.0003966093e+00 3.2184507182e-03 1.0000000000e+00
1.2087587947e+04 1.0002528429e+00 3.2408796624e-03 1.0000000000e+00
1.2087627491e+04 1.0002447367e+00 3.2717301296e-03 1.0000000000e+00
1.2087667034e+04 1.0002150536e+00 3.3051716909e-03 1.0000000000e+00
1.2087706578e+04 1.0002688169e+00 3.3434353187e-03 1.0000000000e+00
1.2087746122e+04 1.0007263422e+00 3.3864058982e-03 1.0000000000e+00
1.2087785666e+04 1.0013529062e+00 3.4343350106e-03 1.0000000000e+00
1.2087825209e+04 1.0010244846e+00 3.4895148445e-03 1.0000000000e+00
1.2087864753e+04 9.9893206358e-01 3.5564287809e-03 1.0000000000e+00
