# Object: VI_Cyg_12_comb_00band_lamdif_m144add_norm_reg4_norm.fits
# Telluric: HR_8358_sum_00band_dp_lamdef_m144add_reg4.fits
# Threshold of mask: 0.60
# Signal-to-noise: 344
1.2092254177e+04 8.9424878359e-01 2.9854034392e-03 1.0000000000e+00
1.2092293725e+04 8.5406154394e-01 3.0108284504e-03 1.0000000000e+00
1.2092333273e+04 8.3370822668e-01 3.0348848734e-03 1.0000000000e+00
1.2092372821e+04 8.4061741829e-01 3.0463269288e-03 1.0000000000e+00
1.2092412369e+04 8.5888737440e-01 3.0401661644e-03 1.0000000000e+00
1.2092451917e+04 8.6145657301e-01 3.0209263426e-03 1.0000000000e+00
1.2092491465e+04 8.3771592379e-01 2.9975569372e-03 1.0000000000e+00
1.2092531013e+04 8.0736410618e-01 2.9772165900e-03 1.0000000000e+00
1.2092570561e+04 8.0277591944e-01 2.9630958778e-03 1.0000000000e+00
1.2092610109e+04 8.3776146173e-01 2.9550128158e-03 1.0000000000e+00
1.2092649657e+04 8.9608114958e-01 2.9505327676e-03 1.0000000000e+00
1.2092689205e+04 9.4918668270e-01 2.9480468799e-03 1.0000000000e+00
1.2092728753e+04 9.8048615456e-01 2.9460095859e-03 1.0000000000e+00
1.2092768301e+04 9.9205261469e-01 2.9441661585e-03 1.0000000000e+00
1.2092807849e+04 9.9432832003e-01 2.9421338671e-03 1.0000000000e+00
1.2092847396e+04 9.9502855539e-01 2.9402890694e-03 1.0000000000e+00
1.2092886944e+04 9.9642884731e-01 2.9403720098e-03 1.0000000000e+00
1.2092926492e+04 9.9793422222e-01 2.9426350508e-03 1.0000000000e+00
1.2092966040e+04 9.9859523773e-01 2.9437369032e-03 1.0000000000e+00
1.2093005588e+04 9.9815589190e-01 2.9411359211e-03 1.0000000000e+00
1.2093045136e+04 9.9708449841e-01 2.9380757392e-03 1.0000000000e+00
1.2093084684e+04 9.9603682756e-01 2.9395625195e-03 1.0000000000e+00
1.2093124232e+04 9.9536609650e-01 2.9442660571e-03 1.0000000000e+00
1.2093163780e+04 9.9503511190e-01 2.9450603228e-03 1.0000000000e+00
1.2093203328e+04 9.9488627911e-01 2.9390040021e-03 1.0000000000e+00
1.2093242876e+04 9.9508172274e-01 2.9325082060e-03 1.0000000000e+00
1.2093282424e+04 9.9619454145e-01 2.9329075095e-03 1.0000000000e+00
1.2093321972e+04 9.9849396944e-01 2.9388451997e-03 1.0000000000e+00
1.2093361520e+04 1.0011147261e+00 2.9433081290e-03 1.0000000000e+00
1.2093401068e+04 1.0025444031e+00 2.9430848030e-03 1.0000000000e+00
1.2093440616e+04 1.0022203922e+00 2.9413543306e-03 1.0000000000e+00
1.2093480164e+04 1.0011258125e+00 2.9412292166e-03 1.0000000000e+00
1.2093519712e+04 1.0006150007e+00 2.9425791972e-03 1.0000000000e+00
1.2093559260e+04 1.0009971857e+00 2.9435920067e-03 1.0000000000e+00
1.2093598808e+04 1.0014129877e+00 2.9432287599e-03 1.0000000000e+00
1.2093638356e+04 1.0009627342e+00 2.9423262815e-03 1.0000000000e+00
1.2093677904e+04 9.9983376265e-01 2.9422535452e-03 1.0000000000e+00
1.2093717452e+04 9.9903744459e-01 2.9428616888e-03 1.0000000000e+00
1.2093756999e+04 9.9894630909e-01 2.9426393199e-03 1.0000000000e+00
1.2093796547e+04 9.9885708094e-01 2.9410001646e-03 1.0000000000e+00
1.2093836095e+04 9.9844515324e-01 2.9394892097e-03 1.0000000000e+00
1.2093875643e+04 9.9847006798e-01 2.9399039106e-03 1.0000000000e+00
1.2093915191e+04 9.9942922592e-01 2.9419171198e-03 1.0000000000e+00
1.2093954739e+04 1.0007694960e+00 2.9437773130e-03 1.0000000000e+00
1.2093994287e+04 1.0017014742e+00 2.9448531204e-03 1.0000000000e+00
1.2094033835e+04 1.0015281439e+00 2.9458894238e-03 1.0000000000e+00
1.2094073383e+04 9.9975240231e-01 2.9471600013e-03 1.0000000000e+00
1.2094112931e+04 9.9726551771e-01 2.9483654226e-03 1.0000000000e+00
1.2094152479e+04 9.9620985985e-01 2.9505320522e-03 1.0000000000e+00
1.2094192027e+04 9.9720692635e-01 2.9551760613e-03 1.0000000000e+00
1.2094231575e+04 9.9840557575e-01 2.9635217771e-03 1.0000000000e+00
1.2094271123e+04 9.9845260382e-01 2.9747393620e-03 1.0000000000e+00
1.2094310671e+04 9.9825209379e-01 2.9851742289e-03 1.0000000000e+00
1.2094350219e+04 9.9869126081e-01 2.9892101379e-03 1.0000000000e+00
1.2094389767e+04 9.9918532372e-01 2.9840857775e-03 1.0000000000e+00
1.2094429315e+04 9.9968707561e-01 2.9743965574e-03 1.0000000000e+00
1.2094468863e+04 1.0014437437e+00 2.9684265327e-03 1.0000000000e+00
1.2094508411e+04 1.0042576790e+00 2.9687913186e-03 1.0000000000e+00
1.2094547959e+04 1.0055767298e+00 2.9699447405e-03 1.0000000000e+00
1.2094587507e+04 1.0040119886e+00 2.9669939636e-03 1.0000000000e+00
1.2094627055e+04 1.0014894009e+00 2.9630439340e-03 1.0000000000e+00
1.2094666603e+04 1.0002882481e+00 2.9639994133e-03 1.0000000000e+00
1.2094706150e+04 1.0003654957e+00 2.9703524924e-03 1.0000000000e+00
1.2094745698e+04 1.0007741451e+00 2.9781477078e-03 1.0000000000e+00
1.2094785246e+04 1.0012377501e+00 2.9847645940e-03 1.0000000000e+00
1.2094824794e+04 1.0014091730e+00 2.9899320568e-03 1.0000000000e+00
1.2094864342e+04 1.0007400513e+00 2.9937948770e-03 1.0000000000e+00
1.2094903890e+04 9.9996799231e-01 2.9983700618e-03 1.0000000000e+00
1.2094943438e+04 1.0009506941e+00 3.0087579782e-03 1.0000000000e+00
1.2094982986e+04 1.0037723780e+00 3.0209405906e-03 1.0000000000e+00
1.2095022534e+04 1.0055772066e+00 3.0258004154e-03 1.0000000000e+00
1.2095062082e+04 1.0041563511e+00 3.0193557658e-03 1.0000000000e+00
1.2095101630e+04 1.0010452271e+00 3.0103948037e-03 1.0000000000e+00
1.2095141178e+04 9.9903517962e-01 3.0078052085e-03 1.0000000000e+00
1.2095180726e+04 9.9883854389e-01 3.0105372287e-03 1.0000000000e+00
1.2095220274e+04 9.9952614307e-01 3.0138275478e-03 1.0000000000e+00
1.2095259822e+04 1.0002640486e+00 3.0170779434e-03 1.0000000000e+00
1.2095299370e+04 1.0007987022e+00 3.0224653374e-03 1.0000000000e+00
1.2095338918e+04 1.0012221336e+00 3.0306787318e-03 1.0000000000e+00
1.2095378466e+04 1.0015894175e+00 3.0398350707e-03 1.0000000000e+00
1.2095418014e+04 1.0016118288e+00 3.0472197588e-03 1.0000000000e+00
1.2095457562e+04 1.0008888245e+00 3.0522726995e-03 1.0000000000e+00
1.2095497110e+04 9.9936515093e-01 3.0569964458e-03 1.0000000000e+00
1.2095536658e+04 9.9732148647e-01 3.0625833488e-03 1.0000000000e+00
1.2095576206e+04 9.9523913860e-01 3.0683061652e-03 1.0000000000e+00
1.2095615753e+04 9.9364411831e-01 3.0747142622e-03 1.0000000000e+00
1.2095655301e+04 9.9270701408e-01 3.0845615429e-03 1.0000000000e+00
1.2095694849e+04 9.9218368530e-01 3.1013919255e-03 1.0000000000e+00
1.2095734397e+04 9.9199569225e-01 3.1212326384e-03 1.0000000000e+00
1.2095773945e+04 9.9252551794e-01 3.1441631098e-03 1.0000000000e+00
1.2095813493e+04 9.9411809444e-01 3.1705700141e-03 1.0000000000e+00
1.2095853041e+04 9.9637287855e-01 3.2018175585e-03 1.0000000000e+00
1.2095892589e+04 9.9800765514e-01 3.2389973533e-03 1.0000000000e+00
1.2095932137e+04 9.9778324366e-01 3.2832786791e-03 1.0000000000e+00
1.2095971685e+04 9.9601721764e-01 3.3375188322e-03 1.0000000000e+00
1.2096011233e+04 9.9440580606e-01 3.4056818400e-03 1.0000000000e+00
