# Object: VI_Cyg_12_comb_00band_lamdif_m144add_norm_reg5_norm.fits
# Telluric: HR_8358_sum_00band_dp_lamdef_m144add_reg5.fits
# Threshold of mask: 0.60
# Signal-to-noise: 326
1.2097315430e+04 1.0010961294e+00 3.6321888831e-03 1.0000000000e+00
1.2097354977e+04 1.0025843382e+00 3.5497853865e-03 1.0000000000e+00
1.2097394524e+04 1.0018800497e+00 3.4830873150e-03 1.0000000000e+00
1.2097434071e+04 1.0005992651e+00 3.4250064812e-03 1.0000000000e+00
1.2097473618e+04 1.0002794266e+00 3.3764068489e-03 1.0000000000e+00
1.2097513165e+04 1.0003944635e+00 3.3384323962e-03 1.0000000000e+00
1.2097552711e+04 9.9973392487e-01 3.3087594112e-03 1.0000000000e+00
1.2097592258e+04 9.9837201834e-01 3.2844272505e-03 1.0000000000e+00
1.2097631805e+04 9.9738144875e-01 3.2643123606e-03 1.0000000000e+00
1.2097671352e+04 9.9752205610e-01 3.2484532465e-03 1.0000000000e+00
1.2097710899e+04 9.9889957905e-01 3.2364438862e-03 1.0000000000e+00
1.2097750446e+04 1.0010674000e+00 3.2270557517e-03 1.0000000000e+00
1.2097789993e+04 1.0030697584e+00 3.2190195491e-03 1.0000000000e+00
1.2097829540e+04 1.0037686825e+00 3.2114259524e-03 1.0000000000e+00
1.2097869087e+04 1.0027474165e+00 3.2035130121e-03 1.0000000000e+00
1.2097908634e+04 1.0009386539e+00 3.1940642817e-03 1.0000000000e+00
1.2097948181e+04 9.9985784292e-01 3.1855322912e-03 1.0000000000e+00
1.2097987728e+04 9.9989855289e-01 3.1780978423e-03 1.0000000000e+00
1.2098027275e+04 1.0001121759e+00 3.1717721107e-03 1.0000000000e+00
1.2098066822e+04 9.9975001812e-01 3.1658987114e-03 1.0000000000e+00
1.2098106369e+04 9.9924033880e-01 3.1605104469e-03 1.0000000000e+00
1.2098145916e+04 9.9936348200e-01 3.1560243063e-03 1.0000000000e+00
1.2098185463e+04 1.0000956059e+00 3.1523756752e-03 1.0000000000e+00
1.2098225010e+04 1.0007678270e+00 3.1495634193e-03 1.0000000000e+00
1.2098264557e+04 1.0007812977e+00 3.1468364792e-03 1.0000000000e+00
1.2098304104e+04 9.9977517128e-01 3.1415447115e-03 1.0000000000e+00
1.2098343651e+04 9.9799692631e-01 3.1334235203e-03 1.0000000000e+00
1.2098383198e+04 9.9668598175e-01 3.1278964431e-03 1.0000000000e+00
1.2098422745e+04 9.9711239338e-01 3.1292968553e-03 1.0000000000e+00
1.2098462292e+04 9.9911373854e-01 3.1342550885e-03 1.0000000000e+00
1.2098501839e+04 1.0010861158e+00 3.1360006389e-03 1.0000000000e+00
1.2098541386e+04 1.0014059544e+00 3.1317039148e-03 1.0000000000e+00
1.2098580933e+04 9.9991452694e-01 3.1239545432e-03 1.0000000000e+00
1.2098620480e+04 9.9815911055e-01 3.1177311492e-03 1.0000000000e+00
1.2098660027e+04 9.9792045355e-01 3.1157185116e-03 1.0000000000e+00
1.2098699574e+04 9.9934613705e-01 3.1161031185e-03 1.0000000000e+00
1.2098739120e+04 1.0008678436e+00 3.1159158067e-03 1.0000000000e+00
1.2098778667e+04 1.0010714531e+00 3.1149116555e-03 1.0000000000e+00
1.2098818214e+04 1.0004181862e+00 3.1147265622e-03 1.0000000000e+00
1.2098857761e+04 1.0006279945e+00 3.1159090095e-03 1.0000000000e+00
1.2098897308e+04 1.0021077394e+00 3.1169043573e-03 1.0000000000e+00
1.2098936855e+04 1.0029343367e+00 3.1154376216e-03 1.0000000000e+00
1.2098976402e+04 1.0015231371e+00 3.1110071005e-03 1.0000000000e+00
1.2099015949e+04 9.9920749664e-01 3.1054976101e-03 1.0000000000e+00
1.2099055496e+04 9.9850332737e-01 3.1029370320e-03 1.0000000000e+00
1.2099095043e+04 9.9972033501e-01 3.1032471348e-03 1.0000000000e+00
1.2099134590e+04 1.0010666847e+00 3.1049817442e-03 1.0000000000e+00
